Sl. No.,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died,region_type,name_norm,latitude,longitude,latlon_locked,severity_score,fatality_rate,injury_rate,accident_intensity,risk_score,risk_category
1,andhra pradesh,21070,21340,8293,1029,0,1037,0,0,0,22099,21340,9330,State,andhra pradesh,14.7504291,78.57002559,True,40000,0.4221910493687497,0.9656545545047288,0.3342005354468864,0.5676319981251707,High Risk
2,arunachal pradesh,215,177,152,0,0,0,0,0,0,215,177,152,State,arunachal pradesh,27.10039878,93.61660071,True,481,0.7069767441860465,0.8232558139534883,0.0031915054527853,0.6011034173696268,High Risk
3,assam,7028,5679,3060,689,0,693,22,0,22,7739,5679,3775,State,assam,26.7499809,94.21666744,True,13229,0.487789120041349,0.7338157384675023,0.1169966572383646,0.4874386130085981,Moderate Risk
4,bihar,10801,7068,8898,1444,6,1446,52,0,53,12297,7074,10397,State,bihar,25.78541445,87.4799727,True,27868,0.8454907701065301,0.5752622590875823,0.1859392252658327,0.6325119078327063,High Risk
5,chhattisgarh,13091,11459,5890,429,21,429,4,0,4,13524,11480,6323,State,chhattisgarh,22.09042035,82.15998734,True,24126,0.467539189588879,0.8488612836438924,0.2044983588704188,0.5293276516616909,Moderate Risk
6,goa,3012,1071,274,54,0,54,0,0,0,3066,1071,328,State,goa,15.491997,73.81800065,True,1727,0.1069797782126549,0.3493150684931507,0.0463146431110371,0.16754733827648,Low Risk
7,gujarat,15777,15139,7634,766,0,777,6,0,6,16549,15139,8417,State,gujarat,22.2587,71.1924,False,31973,0.5086107921928817,0.9147984772493808,0.2502533541058491,0.578795610092425,High Risk
8,haryana,10654,8353,5228,1127,26,1101,95,0,95,11876,8379,6424,State,haryana,28.45000633,77.01999101,True,21227,0.5409228696530819,0.7055405860559111,0.1795713399785216,0.5180378786390186,Moderate Risk
9,himachal pradesh,2484,3891,979,0,0,0,0,0,0,2484,3891,979,State,himachal pradesh,31.10002545,77.16659704,True,5849,0.394122383252818,1.566425120772947,0.0375115332839229,0.6744910345150777,High Risk
10,jharkhand,5175,3747,3898,362,19,346,7,0,7,5544,3766,4251,State,jharkhand,23.80039349,86.41998572,True,12268,0.7667748917748918,0.6792929292929293,0.0837959251584408,0.6039345097070128,High Risk
11,karnataka,39765,48154,11705,0,0,0,0,0,0,39765,48154,11705,State,karnataka,12.57038129,76.91999711,True,71564,0.29435433169873,1.210964415943669,0.601409707621799,0.6307484321568254,High Risk
12,kerala,43592,49317,4317,194,0,194,184,1,185,43970,49318,4696,State,kerala,8.900372741,76.56999263,True,58710,0.1068000909711166,1.1216283829884013,0.665012932403612,0.5228911468628011,Moderate Risk
13,madhya pradesh,51965,51264,13918,1275,0,1275,239,0,239,53479,51264,15432,State,madhya pradesh,21.30039105,76.13001949,True,82128,0.2885618654051123,0.9585818732586624,0.8088424364345893,0.5936239819670727,High Risk
14,maharashtra,30546,23878,15748,4827,1686,3145,0,0,0,35373,25564,18893,State,maharashtra,19.25023195,73.16017493,True,63350,0.5341079354309785,0.7226981030729652,0.5349779922254322,0.5908589970824653,High Risk
15,manipur,508,817,127,2,0,2,0,0,0,510,817,129,State,manipur,24.79997072,93.95001705,True,1075,0.2529411764705882,1.6019607843137256,0.007653562839381,0.6085895360972879,High Risk
16,meghalaya,246,310,162,0,0,0,0,0,0,246,310,162,State,meghalaya,25.57049217,91.8800142,True,634,0.6585365853658537,1.2601626016260163,0.0036603996188344,0.7080491530944986,Very High Risk
17,mizoram,71,28,83,0,0,0,0,0,0,71,28,83,State,mizoram,23.71039899,92.72001461,True,194,1.1690140845070425,0.3943661971830985,0.0010134164233963,0.7030195846931299,Very High Risk
18,nagaland,24,42,22,0,0,0,5,0,5,29,42,27,State,nagaland,25.6669979,94.11657019,True,96,0.9310344827586208,1.4482758620689655,0.0003781404564911,0.9000756280912982,Very High Risk
